Table,Population,SubPopulation,Date,Value
HistoryPitSummary,Sheltered People in Households...,With at Least One Adult and One Child,01/30/2013,1135
HistoryPitSummary,Sheltered People in Households...,Under Age 18,01/30/2013,653
HistoryPitSummary,Sheltered People in Households...,Age 18 - 24,01/30/2013,101
HistoryPitSummary,Sheltered People in Households...,Over Age 24,01/30/2013,381
HistoryPitSummary,Sheltered People in Households...,Average household size,01/30/2013,3.1440443213
HistoryPitSummary,Sheltered People in Households...,With Only Children,01/30/2013,23
HistoryPitSummary,Sheltered People in Households...,In one-child Households,01/30/2013,19
HistoryPitSummary,Sheltered People in Households...,In multi-child households ,01/30/2013,4
HistoryPitSummary,Sheltered People in Households...,Average household size,01/30/2013,1.0952380952
HistoryPitSummary,Sheltered People in Households...,Without Children,01/30/2013,1388
HistoryPitSummary,Sheltered People in Households...,Age 18 - 24,01/30/2013,183
HistoryPitSummary,Sheltered People in Households...,Over Age 24,01/30/2013,1205
HistoryPitSummary,Sheltered People in Households...,Average household size,01/30/2013,1.0138787436
HistoryPitSummary,Sheltered People in Households...,All Sheltered People,01/30/2013,2546
HistoryPitSummary,Sheltered People in Households...,Average household size,01/30/2013,1.4540262707
HistoryPitSummary,Unsheltered People in Households...,With at Least One Adult and One Child,01/30/2013,123
HistoryPitSummary,Unsheltered People in Households...,Under Age 18,01/30/2013,59
HistoryPitSummary,Unsheltered People in Households...,Age 18 - 24,01/30/2013,12
HistoryPitSummary,Unsheltered People in Households...,Over Age 24,01/30/2013,52
HistoryPitSummary,Unsheltered People in Households...,Average household size,01/30/2013,3.3243243243
HistoryPitSummary,Unsheltered People in Households...,With Only Children,01/30/2013,14
HistoryPitSummary,Unsheltered People in Households...,In one-child Households,01/30/2013,14
HistoryPitSummary,Unsheltered People in Households...,In multi-child households ,01/30/2013,0
HistoryPitSummary,Unsheltered People in Households...,Average household size,01/30/2013,1
HistoryPitSummary,Unsheltered People in Households...,Without Children,01/30/2013,1758
HistoryPitSummary,Unsheltered People in Households...,Age 18 - 24,01/30/2013,165
HistoryPitSummary,Unsheltered People in Households...,Over Age 24,01/30/2013,1593
HistoryPitSummary,Unsheltered People in Households...,Average household size,01/30/2013,1.0609535305
HistoryPitSummary,Unsheltered People in Households...,All Unsheltered People,01/30/2013,1895
HistoryPitSummary,Unsheltered People in Households...,Average household size,01/30/2013,1.1094847775
HistoryPitSummary,Sheltered People in Households...,With at Least One Adult and One Child,01/29/2014,689
HistoryPitSummary,Sheltered People in Households...,Under Age 18,01/29/2014,403
HistoryPitSummary,Sheltered People in Households...,Age 18 - 24,01/29/2014,55
HistoryPitSummary,Sheltered People in Households...,Over Age 24,01/29/2014,231
HistoryPitSummary,Sheltered People in Households...,Average household size,01/29/2014,3.0087336245
HistoryPitSummary,Sheltered People in Households...,With Only Children,01/29/2014,67
HistoryPitSummary,Sheltered People in Households...,In one-child Households,01/29/2014,56
